bvd_id,company_name,country_iso
AU005357522,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AU
AU007457141,WESTPAC BANKING CORPORATION,AU
US208875684,BLACKSTONE INC,US
BM29407R,ARCH CAPITAL GROUP LTD,BM
US203717839,LPL FINANCIAL HOLDINGS INC.,US
IR30267GN,TAMIN PHARMACEUTICAL INVESTMENT COMPANY PUBLIC JOINT STOCK,IR
US462286804,"INTERCONTINENTAL EXCHANGE, INC.",US
US221867895,W. R. BERKLEY CORPORATION,US
KR1101112365321,"KOOKMIN BANK CO., LTD.",KR
GB09740322,BARCLAYS BANK UK PLC,GB
TRFEB30963,T.C. ZIRAAT BANKASI A.S.,TR
GBZC000018,STANDARD CHARTERED BANK,GB
IDFEB44166,BANK RAKYAT INDONESIA (PERSERO) TBK,ID
KR1101110672538,KEB HANA BANK,KR
SG193200032W,OVERSEA-CHINESE BANKING CORPORATION LIMITED OCBC,SG
US581167100,AFLAC INC.,US
GB0000518B,SKIPTON BUILDING SOCIETY,GB
PK0000246,NATIONAL BANK OF PAKISTAN,PK
US843626708,"RUSH STREET INTERACTIVE, INC.",US
TRFEB33917,TURKIYE EMLAK KATILIM BANKASI A.S.,TR
TW03793407,"TAIWAN BUSINESS BANK,LTD",TW
US262414818,"LENDINGTREE, INC.",US
TRFEB56616,EMLAK KONUT GAYRIMENKUL YATIRIM ORTAKLIGI AS,TR
US381999511,CREDIT ACCEPTANCE CORPORATION,US
AU009211474,PERENTI LIMITED,AU
US731564280,ALLIANCE RESOURCE PARTNERS LP,US
US611937225,BALDWIN INSURANCE GROUP INC,US
US813015061,"ALPHA METALLURGICAL RESOURCES, INC.",US
US981482650,"HIMS & HERS HEALTH, INC.",US
GB04677092,IG GROUP HOLDINGS PLC,GB
CHCHE105934376,BANQUE CANTONALE VAUDOISE,CH
KR1301110013499,"KB CAPITAL CO., LTD",KR
US953848122,"NORTHERN OIL AND GAS, INC.",US
GB00132501,ATTOCK OIL COMPANY LIMITED(THE),GB
US133398766,ICAHN ENTERPRISES L.P.,US
GBFC013403,NATIONAL BANK OF CANADA,CA
BM18387R,RENAISSANCERE HOLDINGS LTD,BM
US042260388,SEABOARD CORP,US
US134181699,SAFETY INSURANCE GROUP INC.,US
GB00014259,HSBC BANK PLC,GB
US752291093,"GENERAL MOTORS FINANCIAL COMPANY, INC",US
US391126612,ASSURANT INC.,US
SAFEB32937,AL RAJHI BANK,SA
US310746871,CINCINNATI FINANCIAL CORP.,US
CAFEB49317,DESJARDINS GROUP,CA
US132646102,LOEWS CORP.,US
US366169860,CNA FINANCIAL CORPORATION,US
SAFEB31304,SAUDI NATIONAL BANK,SA
US621598430,UNUM GROUP INC.,US
SG193500026Z,UNITED OVERSEAS BANK LIMITED,SG
ILFEB32692,BANK HAPOALIM LTD,IL
US521165937,"NASDAQ, INC.",US
IR30602GN,SADR TAMIN INVESTMENT PUBLIC JOINT STOCK COMPANY,IR
US362678171,OLD REPUBLIC INTERNATIONAL CORP,US
US541959284,MARKEL GROUP INC.,US
SAFEB31725,BANK ALJAZIRA JSC,SA
US450969585,ARTISAN PARTNERS ASSET MANAGEMENT INC.,US
CHCHE369267193,ALPIQ HOLDING SA,CH
CHCHE109030864,DIE SCHWEIZERISCHE POST AG,CH
US753108137,CNO FINANCIAL GROUP INC.,US
ID40028FD,PT GOLDEN ENERGY MINES TBK,ID
CN30472PC,"SHANJIN INTERNATIONAL GOLD CO.,LTD.",CN
US341312571,RANGE RESOURCES CORPORATION,US
TRFEB56786,GLOBAL MENKUL DEGERLER ANONIM SIRKETI,TR
US825339416,"ARCOSA, INC.",US
NG30276KN,SEPLAT ENERGY PLC,NG
US952628227,OCEANEERING INTERNATIONAL INC,US
US741677330,STEWART INFORMATION SERVICES CORP,US
US363297908,"MORNINGSTAR, INC.",US
ID30460FD,PT BAYAN RESOURCES TBK,ID
GB12958050,NOBLE CORPORATION PLC,GB
BM31431R,NABORS INDUSTRIES LTD.,BM
US410518430,SM ENERGY COMPANY,US
ZA196200073806,STANDARD BANK OF SOUTH AFRICA LTD.,ZA
TH0107536000315,KASIKORNBANK PUBLIC COMPANY LIMITED,TH
US043263626,HANOVER INSURANCE GROUP INC.,US
BM40671R,INVESCO LTD,BM
IDFEB13175,PT BANK CENTRAL ASIA TBK,ID
GB02294747,SANTANDER UK PLC,GB
GB02122142,HARGREAVES LANSDOWN LIMITED,GB
US800629925,"WALKER & DUNLOP, INC.",US
US351140070,LINCOLN NATIONAL CORP,US
ILFEB31998,BANK LEUMI LE ISRAEL BM,IL
KR1101110023393,WOORI BANK,KR
US464707224,"COINBASE GLOBAL, INC.",US
IR30321GN,PERSIAN GULF PETROCHEMICAL COMPLEMENTARY INDUSTRIES INVESTMENT AND DEVELOPMENT GROUP COMPANY PUBLIC JOINT STOCK,IR
US844946470,"ROCKET COMPANIES, INC.",US
US311544320,"AMERICAN FINANCIAL GROUP, INC.",US
US830480694,"TRUPANION, INC.",US
US650231984,"UNIVERSAL INSURANCE HOLDINGS, INC.",US
VN0100233488,VIETNAM INTERNATIONAL COMMERCIAL JOINT STOCK BANK - VIB,VN
US465670947,CALIFORNIA RESOURCES CORPORATION,US
US871133610,CRESCENT ENERGY COMPANY,US
BR58160789000128,BANCO SAFRA,BR
US814891595,LIBERTY ENERGY INC,US
CHCHE114461224,TRANSOCEAN LTD.,CH
AU008881712,YANCOAL AUSTRALIA LIMITED,AU
US134004153,PEABODY ENERGY CORPORATION,US
US460967367,"WESTERN MIDSTREAM PARTNERS, LP",US
US730679879,"HELMERICH & PAYNE, INC.",US
US274662601,MATADOR RESOURCES COMPANY,US
US371744899,ELEMENT SOLUTIONS INC.,US
US161725106,FIDELITY NATIONAL FINANCIAL INC.,US
BM33024R,AXIS CAPITAL HOLDINGS LTD,BM
US590864469,"BROWN & BROWN, INC.",US
SAFEB31533,RIYAD BANK,SA
US630780404,GLOBE LIFE INC.,US
CHCHE105997193,RAIFFEISEN SCHWEIZ GENOSSENSCHAFT,CH
VN0301103908,SAIGON THUONG TIN COMMERCIAL JOINT-STOCK BANK- SACOMBANK,VN
US370911756,HORACE MANN EDUCATORS CORP,US
KR1101110011679,"MIRAE ASSET SECURITIES CO., LTD.",KR
HKFEB50014,FAR EAST HORIZON LIMITED,HK
ILFEB32681,ISRAEL DISCOUNT BANK LTD,IL
TH0107536000374,BANGKOK BANK PUBLIC COMPANY LIMITED,TH
PE20100047218,BANCO DE CREDITO DEL PERU,PE
US800962035,ARES MANAGEMENT CORPORATION,US
US952211612,MERCURY GENERAL CORP.,US
US452832612,CARLYLE GROUP INC. (THE),US
US205446972,CBOE GLOBAL MARKETS INC.,US
US872063362,TPG INC.,US
US841286705,"COBANK, ACB",US
US843533602,"HIGHPEAK ENERGY, INC.",US
TH0107536001079,BANK OF AYUDHYA PUBLIC COMPANY LTD.,TH
US475381253,PERMIAN RESOURCES CORPORATION,US
US800554627,CHORD ENERGY CORPORATION,US
BM45834R,SIRIUSPOINT LTD,BM
VN0100283873,MILITARY COMMERCIAL JOINT STOCK BANK,VN
ZA195700197906,IMPALA PLATINUM HOLDINGS LIMITED,ZA
US752504748,"PATTERSON-UTI ENERGY, INC.",US
IR30154GN,KHARAZMI INVESTMENT GROUP PUBLIC JOINT STOCK COMPANY,IR
AEFEB33467,NATIONAL BANK OF RAS AL-KHAIMAH (P.S.C.) (THE),AE
US821954058,CORE NATURAL RESOURCES INC,US
US800162034,ANTERO RESOURCES CORPORATION,US
AU007550923,SANTOS LTD,AU
SAFEB31759,SAUDI AWWAL BANK,SA
JP5210001016969,"GENKY DRUGSTORES,INC.",JP
US208579133,VULCAN MATERIALS COMPANY,US
US730767549,"CONTINENTAL RESOURCES, INC.",US
US742806888,EURONET WORLDWIDE INC,US
US843676340,"SHIFT4 PAYMENTS, INC.",US
CHCHE108954607,ZURCHER KANTONALBANK,CH
ILFEB33169,MIZRAHI TEFAHOT BANK LTD.,IL
US134064930,ALLIANCEBERNSTEIN LP,US
US954255452,KEMPER CORP,US
TH0107536000102,THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED,TH
VG40093ZG,NOMAD FOODS LIMITED,VG
US752237318,FIRSTCASH HOLDINGS INC,US
GB03909886,SCHRODERS PLC,GB
US452302834,UNITED FIRE GROUP INC.,US
US204748747,EVERCORE INC.,US
HKFEB51515,HONG KONG EXCHANGES AND CLEARING LIMITED,HK
TW04231910,CATHAY UNITED BANK CO LTD,TW
IR30009GN,PETROCHEMICAL INDUSTRIES INVESTMENT COMPANY PUBLIC JOINT STOCK,IR
HKFEB30094,BANK OF EAST ASIA LTD,HK
US043072771,COTERRA ENERGY INC,US
US841060803,"PAR PACIFIC HOLDINGS, INC.",US
SAFEB33416,ARAB NATIONAL BANK PUBLIC JOINT STOCK COMPANY,SA
VN0100150619,JOINT STOCK COMMERCIAL BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,VN
VN0100111948,VIETNAM JOINT-STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE,VN
JP9220002009323,K.K. KUSURI'S AOKI HOLDINGS,JP
US134063515,BGC PARTNERS INC,US
PK0000489,HABIB BANK LIMITED,PK
US742540145,EZCORP INC,US
US561848578,MARTIN MARIETTA MATERIALS INC,US
VN0100112437,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM- VIETCOMBANK,VN
SAFEB31555,BANQUE SAUDI FRANSI JSC,SA
US861430562,APA CORPORATION,US
US844427672,OVINTIV INC.,US
SAFEB11421,ALINMA BANK PUBLIC JOINT STOCK COMPANY,SA
US341464672,CLEVELAND-CLIFFS INC.,US
US842224323,"AFFIRM HOLDINGS, INC.",US
CW30390NU,SLB LIMITED,CW
SA30947GS,SAUDI ARABIAN OIL COMPANY SAUDI JOINT STOCK COMPANY,SA
GB04366849,SHELL PLC,GB
US823677704,ADAPTHEALTH CORP.,US
CHCHE108562489,PARTNERS GROUP HOLDING AG,CH
SAFEB31519,SAUDI INVESTMENT BANK (THE),SA
US580506554,CRAWFORD & COMPANY,US
US320402956,"VICTORY CAPITAL HOLDINGS, INC.",US
AU004458404,RIO TINTO LIMITED,AU
GB00719885,RIO TINTO PLC,GB
AU004028077,BHP GROUP LIMITED,AU
CL969298805,LQ INVERSIONES FINANCIERAS S.A,CL
VN0301452948,ASIA COMMERCIAL JOINT-STOCK BANK,VN
TRFEB56222,VAKIF KATILIM BANKASI ANONIM SIRKETI,TR
US043218510,"AFFILIATED MANAGERS GROUP, INC.",US
VN0100233583,VIETNAM PROSPERITY JOINT STOCK COMMERCIAL BANK,VN
RU47247771,DOM.RF JOINT STOCK COMPANY,RU
IDFEB13189,BANK DANAMON INDONESIA TBK,ID
ZA197900323106,SASOL LIMITED,ZA
AU004898962,WOODSIDE ENERGY GROUP LTD,AU
US521222820,VOYA FINANCIAL INC.,US
ZA196800641506,REMGRO LIMITED,ZA
GB09909709,TECHNIPFMC PLC,GB
US133849074,SOUTHERN COPPER CORPORATION,US
US731395733,EXPAND ENERGY CORP,US
GBJE101484,JANUS HENDERSON GROUP PLC,GB
US454502447,"DIAMONDBACK ENERGY, INC.",US
GBSC234781,HARBOUR ENERGY PLC,GB
GBSC095237,TSB BANK PLC,GB
MY97141-X,HONG LEONG BANK BERHAD,MY
BM40612R,ARCHER LIMITED,BM
US364797143,PJT PARTNERS INC.,US
US980686001,KOSMOS ENERGY LTD.,US
US263685382,PROPETRO HOLDING CORP.,US
KR1101114546523,"KB KOOKMIN CARD CO.,LTD",KR
US464054283,NAVIENT CORPORATION,US
GB11976839,OSB GROUP PLC,GB
ILFEB40625,ISRAEL CREDIT CARDS LTD,IL
US980664337,KINSALE CAPITAL GROUP INC.,US
BR92702067000196,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A. BANRISUL,BR
KY40871WB,YIXIN GROUP LIMITED,KY
VN0300608092,HO CHI MINH CITY DEVELOPMENT JOINT STOCK COMMERCIAL BANK,VN
US832301143,"REMITLY GLOBAL, INC.",US
SAFEB29369,BANK ALBILAD,SA
MA68545-81,AFRIQUIA GAZ SA,MA
RU11538317,PUBLIC JOINT-STOCK COMPANY MOSCOW EXCHANGE MICEX-RTS,RU
US370889946,RLI CORP.,US
AEFEB31645,COMMERCIAL BANK OF DUBAI P.S.C.,AE
US232691170,RADIAN GROUP INC.,US
US813563824,VERRA MOBILITY CORPORATION,US
US631261433,PROASSURANCE CORP,US
PH0000017514,RIZAL COMMERCIAL BANKING CORP.,PH
GB06018973,INTERNATIONAL PERSONAL FINANCE PLC,GB
US840748903,NELNET,US
BM27225R,WHITE MOUNTAINS INSURANCE GROUP LTD,BM
US833013440,"KODIAK GAS SERVICES, INC.",US
PH0000006030,SECURITY BANK CORPORATION,PH
TH0107544000108,PTT PCL,TH
US800873306,GENWORTH FINANCIAL INC,US
TH0107536000781,BANPU PCL,TH
TH0107535000206,PTT EXPLORATION AND PRODUCTION PCL,TH
GB01627889,ANTOFAGASTA PLC,GB
KEC9-88,KCB GROUP PLC,KE
BH48915,AL BARAKA GROUP B.S.C,BH
US222168890,"SELECTIVE INSURANCE GROUP, INC.",US
ZA200501585206,KUMBA IRON ORE LIMITED,ZA
AU068049178,BENDIGO AND ADELAIDE BANK LIMITED,AU
IL40211GE,PAGAYA TECHNOLOGIES LTD.,IL
PH0000034001,BDO UNIBANK INC,PH
ZA201424385206,SIBANYE-STILLWATER LIMITED,ZA
ZA194602245206,VALTERRA PLATINUM LIMITED,ZA
RU09139030,"PUBLIC JOINT-STOCK COMPANY ""SOVCOMBANK",RU
AR33-99924210-9,BANCO DE LA PROVINCIA DE BUENOS AIRES,AR
GB01000403,RATHBONES GROUP PLC,GB
PHPW00000443,CHINA BANKING CORPORATION - CHINABANK,PH
GB00195626,CLOSE BROTHERS LIMITED,GB
US411321939,UNITEDHEALTH GROUP INC.,US
IR30639GN,SOCIAL SECURITY INVESTMENT COMPANY PUBLIC JOINT STOCK,IR
RU00032537,SBERBANK OF RUSSIA,RU
IR30647GN,TAMIN CEMENT INVESTMENT PUBLIC JOINT STOCK COMPANY,IR
IDFEB30778,PT BANK CIMB NIAGA TBK,ID
KR1101110012809,SHINHAN BANK,KR
GBSC327000,BANK OF SCOTLAND PLC,GB
US132615557,JEFFERIES FINANCIAL GROUP INC.,US
KW30010GK,INDEPENDENT PETROLEUM GROUP COMPANY K.S.C.P.,KW
GBFEB24995,COVENTRY BUILDING SOCIETY,GB
TH0107537000017,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,TH
TRFEB54149,ZIRAAT KATILIM BANKASI A.S.,TR
GB05807599,TP ICAP FINANCE PLC,GB
US842124167,UWM HOLDINGS CORPORATION,US
US980437848,"LAZARD, INC.",US
US863906032,BLUE OWL CAPITAL INC.,US
KY40928WB,PAGSEGURO DIGITAL LIMITED,KY
ILFEB31997,FIRST INTERNATIONAL BANK OF ISRAEL LTD.,IL
US872424964,PROFRAC HOLDING CORPORATION,US
USFEB19944,FARM CREDIT SYSTEM (COMBINED),US
KY41927WB,NU HOLDINGS LTD.,KY
SG199904940D,SINGAPORE EXCHANGE LIMITED,SG
CO8903006536,CORPORACION FINANCIERA COLOMBIANA SA,CO
MU40121AO,IBL LIMITED,MU
BH59308,AL SALAM BANK B.S.C,BH
GE204854595,JSC TBC BANK,GE
TW86517315,"YUANTA COMMERCIAL BANK CO., LTD",TW
AR30-50001008-4,BANCO MACRO SA,AR
US853474065,FINANCE OF AMERICA COMPANIES INC.,US
AU100103722,INSIGNIA FINANCIAL LTD,AU
AEFEB26623,EMIRATES NBD BANK PJSC,AE
QA8338,QATAR ISLAMIC BANK SAQ,QA
IDFEB47750,BANK MANDIRI (PERSERO) TBK,ID
AU112425788,PILBARA MINERALS LIMITED,AU
QA150,THE COMMERCIAL BANK (PQSC),QA
AU142003469,SEVEN GROUP HOLDINGS LIMITED,AU
EC1790010937001,BANCO PICHINCHA C.A.,EC
EGFEB31171,COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,EG
TRFEB32656,ALBARAKA TURK PARTICIPATION BANK,TR
TH0107537000882,KRUNG THAI BANK PUBLIC COMPANY LIMITED,TH
BH10299,ARAB BANKING CORPORATION BSC,BH
CA31827NC,TMX GROUP LIMITED,CA
AU096090158,WORLEY LIMITED,AU
AEFEB38656,DUBAI ISLAMIC BANK PJSC,AE
PH0000036073,UNION BANK OF THE PHILIPPINES,PH
TRFEB46367,DENIZBANK A.S.,TR
US880523830,ATLAS ENERGY SOLUTIONS INC,US
CN9379101655,"YUEYANG CITY CONSTRUCTION INVESTMENT GROUP CO., LTD.",CN
JP1370001003352,THE 77 BANK,JP
CNFEB59346,"SINOLINK SECURITIES CO., LTD",CN
CN9391646314,"WUXI TAIHU NEW TOWN DEVELOPMENT GROUP CO.,LTD.",CN
US38-311,FIRSTBANK PUERTO RICO,US
JP4011101031656,KINOSHITA GROUP,JP
JP3130001000082,AIFUL CORPORATION,JP
CN156082105969,"ZHENJIANG TRANSPORTATION INDUSTRY GROUP CO.,LTD",CN
US043401714,"COMPUTERSHARE TRUST COMPANY, NATIONAL ASSOCIATION",US
GB02500199,CREDIT SUISSE INTERNATIONAL,GB
JP3010005002392,SHINKIN CENTRAL BANK,JP
US911821036,"US BANK TRUST COMPANY, NATIONAL ASSOCIATION",US
JP2010001120389,DEVELOPMENT BANK OF JAPAN INC,JP
IDFEB29110,PT MNC ASIA HOLDING TBK,ID
US916029712,PACCAR FINANCIAL CORP.,US
HK0023635921,EVERBRIGHT SECURITIES COMPANY LIMITED,CN
US251255405,FIRST NATIONAL BANK OF PENNSYLVANIA,US
CN9363455910,"XUZHOU XINSHENG CONSTRUCTION DEVELOPING & INVESTMENT CO., LTD.",CN
IR30771GN,SALIM INVESTMENT COMPANY PUBLIC JOINT STOCK,IR
BM52575R,RESOLUTION LIFE GROUP HOLDINGS LTD.,BM
NG125384R,ACCESS BANK PLC,NG
CN56031PC,"ZHONGTAI SECURITIES CO.,LTD.",CN
US850886382,BKV CORP,US
CN9367131855,"XINJIANG PRODUCTION AND CONSTRUCTION CORPS 12TH DIVISION STATE-OWNED ASSETS MANAGEMENT CO., LTD.",CN
BR17344597000194,BB SEGURIDADE PARTICIPACOES S.A,BR
CN9403071017,"CHN ENERGY RENEWABLE CO., LTD",CN
CHCHE109870410,SIX GROUP AG,CH
US134941247,DEUTSCHE BANK TRUST COMPANY AMERICAS,US
US942841595,CREDIT ONE BANK NATIONAL ASSOCIATION,US
CN40094PC,"BEIJING HAOHUA ENERGY RESOURCE CO., LTD.",CN
IR30362GN,BEHSHAHR INDUSTRIAL DEVELOPMENT CLEANSER INDUSTRY MANAGEMENT COMAPNY PUBLIC JOINT STOCK,IR
JP8010601027383,TOYOTA FINANCE CORPORATION,JP
GB05613060,MAREX GROUP PLC,GB
CN9378611180,"XI'AN QUJIANG CULTURAL INDUSTRY INVESTMENT (GROUP) CO., LTD.",CN
CN9395469029,"ZHENGZHOU PUBLIC UTILITY INVESTMENT DEVELOPMENT GROUP CO., LTD.",CN
CO8600029644,BANCO DE BOGOTA SA,CO
CNFEB14384,BANK OF SUZHOU CO LTD,CN
KR1101110208169,"HANA SECURITIES CO., LTD.",KR
CN9360902006,"CINDA INVESTMENT CO., LTD.",CN
CN30884PC,SHANDONG XINCHAO ENERGY CORPORATION LIMITED,CN
KR1101110143448,SHINHAN SECURITIES CO. LTD.,KR
CN9398421899,"HEFEI INDUSTRY INVESTMENT HOLDIND(GROUP) CO.,LTD",CN
CN9366702892,"GUANGXI XIJIANG DEVELOPMENT & INVESTMENT GROUP CO.,LTD",CN
CNFEB28851,DONGGUAN RURAL COMMERCIAL BANK CO LTD,CN
GB06433768,KELDA EUROBOND CO LIMITED,GB
INFEB43459,NATIONAL BANK FOR AGRICULTURAL AND RURAL DEVELOPMENT - NABARD,IN
PH0000091447,SEMIRARA MINING AND POWER CORPORATION,PH
CN32056PC,"SICHUAN DEVELOPMENT LOMON CO.,LTD.",CN
CN9365394134,"XINJIANG INVESTING DEVELOPMENT (GROUP) CO.,LTD.",CN
CNFEB16184,QILU BANK CO LTD,CN
GB12576810,TWENTY20 CAPITAL INVESTMENTS LIMITED,GB
KY30245WB,MONGOLIAN MINING CORPORATION,KY
CN31514PC,"SHANXI COKING CO.,LTD",CN
GB00825828,NEO ENERGY RESOURCES UK LIMITED,GB
KY40825WB,SHELF DRILLING LTD.,KY
GB13211214,WISE PLC,GB
CN9366698958,"QINGDAO CONSON DEVELOPMENT (GROUP) CO., LTD.",CN
USFEB36925,BREAD FINANCIAL,US
JP8010401021784,NEC CAPITAL SOLUTIONS LIMITED,JP
CN30288PC,"GUIZHOU PANJIANG REFINED COAL CO.,LTD.",CN
MA17883-81,MANAGEM SA,MA
US463231686,DAYFORCE INC,US
US621829917,PINNACLE BANK,US
CN30106PC,"GANSU ENERGY CHEMICAL CO.,LTD.",CN
JP5010001008730,NITTETSU MINING CO LTD,JP
ID30494FD,PT HARUM ENERGY TBK,ID
KY40235WB,CNQC INTERNATIONAL HOLDINGS LIMITED,KY
US592979916,"SOUTH STATE BANK, N.A.",US
INFEB32619,BANK OF MAHARASHTRA,IN
CNFEB21958,"BANK OF ZHENGZHOU CO., LTD.",CN
INFEB23404,YES BANK LIMITED,IN
CN9360902308,CCCC INVESTMENT COMPANY LIMITED,CN
GB04403936,MILLENNIUM CAPITAL MANAGEMENT LTD.,GB
